     10000, 0.0000E+00,-0.4903E-01, 0.5000E-02, 0.0000E+00,-0.4903E-01, 0.0000E+00, 0.0000E+00,-0.4903E-01, 0.0000E+00, 0.0000E+00,-0.4903E-01, 0.0000E+00, 0.0000E+00,-0.4903E-01, 0.0000E+00, 0.0000E+00,-0.4903E-01, 0.0000E+00, 0.0000E+00,-0.4903E-01, 0.0000E+00, 0.0000E+00,-0.4903E-01, 0.0000E+00
     20000, 0.0000E+00,-0.9807E-01, 0.5000E-02, 0.0000E+00,-0.9807E-01, 0.0000E+00, 0.0000E+00,-0.9807E-01, 0.0000E+00, 0.0000E+00,-0.9807E-01, 0.0000E+00, 0.0000E+00,-0.9807E-01, 0.0000E+00, 0.0000E+00,-0.9807E-01, 0.0000E+00, 0.0000E+00,-0.9807E-01, 0.0000E+00, 0.0000E+00,-0.9807E-01, 0.0000E+00
     30000, 0.0000E+00,-0.1471E+00, 0.5000E-02, 0.0000E+00,-0.1471E+00, 0.0000E+00, 0.0000E+00,-0.1471E+00, 0.0000E+00, 0.0000E+00,-0.1471E+00, 0.0000E+00, 0.0000E+00,-0.1471E+00, 0.0000E+00, 0.0000E+00,-0.1471E+00, 0.0000E+00, 0.0000E+00,-0.1471E+00, 0.0000E+00, 0.0000E+00,-0.1471E+00, 0.0000E+00
     40000, 0.0000E+00,-0.1961E+00, 0.5000E-02, 0.0000E+00,-0.1961E+00, 0.0000E+00, 0.0000E+00,-0.1961E+00, 0.0000E+00, 0.0000E+00,-0.1961E+00, 0.0000E+00, 0.0000E+00,-0.1961E+00, 0.0000E+00, 0.0000E+00,-0.1961E+00, 0.0000E+00, 0.0000E+00,-0.1961E+00, 0.0000E+00, 0.0000E+00,-0.1961E+00, 0.0000E+00
     50000, 0.0000E+00,-0.2452E+00, 0.5000E-02, 0.0000E+00,-0.2452E+00, 0.0000E+00, 0.0000E+00,-0.2452E+00, 0.0000E+00, 0.0000E+00,-0.2452E+00, 0.0000E+00, 0.0000E+00,-0.2452E+00, 0.0000E+00, 0.0000E+00,-0.2452E+00, 0.0000E+00, 0.0000E+00,-0.2452E+00, 0.0000E+00, 0.0000E+00,-0.2452E+00, 0.0000E+00
     60000, 0.0000E+00,-0.2942E+00, 0.5000E-02, 0.0000E+00,-0.2942E+00, 0.0000E+00, 0.0000E+00,-0.2942E+00, 0.0000E+00, 0.0000E+00,-0.2942E+00, 0.0000E+00, 0.0000E+00,-0.2942E+00, 0.0000E+00, 0.0000E+00,-0.2942E+00, 0.0000E+00, 0.0000E+00,-0.2942E+00, 0.0000E+00, 0.0000E+00,-0.2942E+00, 0.0000E+00
     70000, 0.0000E+00, 0.4082E-03, 0.5000E-02, 0.0000E+00,-0.3432E+00, 0.0000E+00, 0.0000E+00,-0.3432E+00, 0.0000E+00, 0.0000E+00,-0.3432E+00, 0.0000E+00, 0.0000E+00,-0.3432E+00, 0.0000E+00, 0.0000E+00,-0.3432E+00, 0.0000E+00, 0.0000E+00,-0.3432E+00, 0.0000E+00, 0.0000E+00,-0.3432E+00, 0.0000E+00
     80000, 0.0000E+00, 0.2732E-03, 0.5000E-02, 0.0000E+00,-0.3923E+00, 0.0000E+00, 0.0000E+00,-0.3923E+00, 0.0000E+00, 0.0000E+00,-0.3923E+00, 0.0000E+00, 0.0000E+00,-0.3923E+00, 0.0000E+00, 0.0000E+00,-0.3923E+00, 0.0000E+00, 0.0000E+00,-0.3923E+00, 0.0000E+00, 0.0000E+00,-0.3923E+00, 0.0000E+00
     90000, 0.0000E+00, 0.1852E-03, 0.5000E-02, 0.0000E+00,-0.4413E+00, 0.0000E+00, 0.0000E+00,-0.4413E+00, 0.0000E+00, 0.0000E+00,-0.4413E+00, 0.0000E+00, 0.0000E+00,-0.4413E+00, 0.0000E+00, 0.0000E+00,-0.4413E+00, 0.0000E+00, 0.0000E+00,-0.4413E+00, 0.0000E+00, 0.0000E+00,-0.4413E+00, 0.0000E+00
    100000, 0.0000E+00, 0.1266E-03, 0.5000E-02, 0.0000E+00,-0.4903E+00, 0.0000E+00, 0.0000E+00,-0.4903E+00, 0.0000E+00, 0.0000E+00,-0.4903E+00, 0.0000E+00, 0.0000E+00,-0.4903E+00, 0.0000E+00, 0.0000E+00,-0.4903E+00, 0.0000E+00, 0.0000E+00,-0.4903E+00, 0.0000E+00, 0.0000E+00,-0.4903E+00, 0.0000E+00
    110000, 0.0000E+00, 0.8696E-04, 0.5000E-02, 0.0000E+00,-0.5394E+00, 0.0000E+00, 0.0000E+00,-0.5394E+00, 0.0000E+00, 0.0000E+00,-0.5394E+00, 0.0000E+00, 0.0000E+00,-0.5394E+00, 0.0000E+00, 0.0000E+00,-0.5394E+00, 0.0000E+00, 0.0000E+00,-0.5394E+00, 0.0000E+00, 0.0000E+00,-0.5394E+00, 0.0000E+00
    120000, 0.0000E+00, 0.5997E-04, 0.5000E-02, 0.0000E+00,-0.5884E+00, 0.0000E+00, 0.0000E+00,-0.5884E+00, 0.0000E+00, 0.0000E+00,-0.5884E+00, 0.0000E+00, 0.0000E+00,-0.5884E+00, 0.0000E+00, 0.0000E+00,-0.5884E+00, 0.0000E+00, 0.0000E+00,-0.5884E+00, 0.0000E+00, 0.0000E+00,-0.5884E+00, 0.0000E+00
    130000, 0.0000E+00, 0.4146E-04, 0.5000E-02, 0.0000E+00,-0.6374E+00, 0.0000E+00, 0.0000E+00,-0.6374E+00, 0.0000E+00, 0.0000E+00,-0.6374E+00, 0.0000E+00, 0.0000E+00,-0.6374E+00, 0.0000E+00, 0.0000E+00,-0.6374E+00, 0.0000E+00, 0.0000E+00,-0.6374E+00, 0.0000E+00, 0.0000E+00,-0.6374E+00, 0.0000E+00
    140000, 0.0000E+00, 0.2872E-04, 0.5000E-02, 0.0000E+00,-0.6865E+00, 0.0000E+00, 0.0000E+00,-0.6865E+00, 0.0000E+00, 0.0000E+00,-0.6865E+00, 0.0000E+00, 0.0000E+00,-0.6865E+00, 0.0000E+00, 0.0000E+00,-0.6865E+00, 0.0000E+00, 0.0000E+00,-0.6865E+00, 0.0000E+00, 0.0000E+00,-0.6865E+00, 0.0000E+00
    150000,-0.3892E-01, 0.4186E-04, 0.5000E-02, 0.0000E+00,-0.7355E+00, 0.0000E+00, 0.0000E+00,-0.7355E+00, 0.0000E+00, 0.0000E+00,-0.7355E+00, 0.0000E+00, 0.0000E+00,-0.7355E+00, 0.0000E+00, 0.0000E+00,-0.7355E+00, 0.0000E+00, 0.0000E+00,-0.7355E+00, 0.0000E+00, 0.0000E+00,-0.7355E+00, 0.0000E+00
