 N,T,W,RMAX
       691, 0.5000E-06, 0.6006E+00, 0.1000E-01,
 it,x0( 1),z0(  1),rr(  1),x0(100),z0(100),rr(100)     ,x0(200),z0(200),rr(200),x0(300),z0(300),rr(300)                  ,x0(400),z0(400),rr(400),x0(500),z0(500),rr(500)                  ,x0(600),z0(600),rr(600),x0(  n),z0(  n),rr(  n)
    140000, 0.1001E-01, 0.4977E-02, 0.5000E-02, 0.1501E+00, 0.6606E-01, 0.1000E-01, 0.5105E+00, 0.1461E+00, 0.5000E-02, 0.1401E+00, 0.2462E+00, 0.5000E-02, 0.2202E+00, 0.3263E+00, 0.1000E-01, 0.3604E+00, 0.4064E+00, 0.1000E-01, 0.5205E+00, 0.4865E+00, 0.5000E-02, 0.5806E+00, 0.5666E+00, 0.1000E-01
    150000, 0.9740E-02, 0.4977E-02, 0.5000E-02, 0.1501E+00, 0.6251E-01, 0.1000E-01, 0.5105E+00, 0.1426E+00, 0.5000E-02, 0.1401E+00, 0.2427E+00, 0.5000E-02, 0.2202E+00, 0.3228E+00, 0.1000E-01, 0.3604E+00, 0.4028E+00, 0.1000E-01, 0.5205E+00, 0.4829E+00, 0.5000E-02, 0.5806E+00, 0.5630E+00, 0.1000E-01
    160000, 0.9573E-02, 0.4788E-02, 0.5000E-02, 0.1501E+00, 0.5871E-01, 0.1000E-01, 0.5105E+00, 0.1388E+00, 0.5000E-02, 0.1401E+00, 0.2389E+00, 0.5000E-02, 0.2202E+00, 0.3190E+00, 0.1000E-01, 0.3604E+00, 0.3990E+00, 0.1000E-01, 0.5205E+00, 0.4791E+00, 0.5000E-02, 0.5806E+00, 0.5592E+00, 0.1000E-01
    170000, 0.9466E-02, 0.4901E-02, 0.5000E-02, 0.1500E+00, 0.5466E-01, 0.1000E-01, 0.5105E+00, 0.1347E+00, 0.5000E-02, 0.1401E+00, 0.2348E+00, 0.5000E-02, 0.2202E+00, 0.3149E+00, 0.1000E-01, 0.3604E+00, 0.3950E+00, 0.1000E-01, 0.5205E+00, 0.4751E+00, 0.5000E-02, 0.5806E+00, 0.5552E+00, 0.1000E-01
    180000, 0.9349E-02, 0.4911E-02, 0.5000E-02, 0.1496E+00, 0.5037E-01, 0.1000E-01, 0.5105E+00, 0.1305E+00, 0.5000E-02, 0.1401E+00, 0.2306E+00, 0.5000E-02, 0.2202E+00, 0.3106E+00, 0.1000E-01, 0.3604E+00, 0.3907E+00, 0.1000E-01, 0.5205E+00, 0.4708E+00, 0.5000E-02, 0.5806E+00, 0.5509E+00, 0.1000E-01
    190000, 0.9113E-02, 0.4929E-02, 0.5000E-02, 0.1494E+00, 0.4583E-01, 0.1000E-01, 0.5105E+00, 0.1259E+00, 0.5000E-02, 0.1401E+00, 0.2260E+00, 0.5000E-02, 0.2202E+00, 0.3061E+00, 0.1000E-01, 0.3604E+00, 0.3862E+00, 0.1000E-01, 0.5205E+00, 0.4663E+00, 0.5000E-02, 0.5806E+00, 0.5463E+00, 0.1000E-01
    200000, 0.8197E-02, 0.4936E-02, 0.5000E-02, 0.1493E+00, 0.4104E-01, 0.1000E-01, 0.5105E+00, 0.1211E+00, 0.5000E-02, 0.1401E+00, 0.2212E+00, 0.5000E-02, 0.2202E+00, 0.3013E+00, 0.1000E-01, 0.3604E+00, 0.3814E+00, 0.1000E-01, 0.5205E+00, 0.4615E+00, 0.5000E-02, 0.5806E+00, 0.5416E+00, 0.1000E-01
    210000, 0.7325E-02, 0.4943E-02, 0.5000E-02, 0.1493E+00, 0.3615E-01, 0.1000E-01, 0.5105E+00, 0.1161E+00, 0.5000E-02, 0.1401E+00, 0.2162E+00, 0.5000E-02, 0.2202E+00, 0.2963E+00, 0.1000E-01, 0.3604E+00, 0.3764E+00, 0.1000E-01, 0.5205E+00, 0.4565E+00, 0.5000E-02, 0.5806E+00, 0.5365E+00, 0.1000E-01
    220000, 0.6712E-02, 0.4907E-02, 0.5000E-02, 0.1494E+00, 0.3323E-01, 0.1000E-01, 0.5105E+00, 0.1108E+00, 0.5000E-02, 0.1401E+00, 0.2109E+00, 0.5000E-02, 0.2202E+00, 0.2910E+00, 0.1000E-01, 0.3604E+00, 0.3711E+00, 0.1000E-01, 0.5205E+00, 0.4512E+00, 0.5000E-02, 0.5806E+00, 0.5313E+00, 0.1000E-01
    230000, 0.6305E-02, 0.4936E-02, 0.5000E-02, 0.1495E+00, 0.3179E-01, 0.1000E-01, 0.5105E+00, 0.1053E+00, 0.5000E-02, 0.1401E+00, 0.2054E+00, 0.5000E-02, 0.2202E+00, 0.2855E+00, 0.1000E-01, 0.3604E+00, 0.3656E+00, 0.1000E-01, 0.5205E+00, 0.4457E+00, 0.5000E-02, 0.5806E+00, 0.5257E+00, 0.1000E-01
    240000, 0.5995E-02, 0.4965E-02, 0.5000E-02, 0.1493E+00, 0.3079E-01, 0.1000E-01, 0.5105E+00, 0.9956E-01, 0.5000E-02, 0.1401E+00, 0.1997E+00, 0.5000E-02, 0.2202E+00, 0.2797E+00, 0.1000E-01, 0.3604E+00, 0.3598E+00, 0.1000E-01, 0.5205E+00, 0.4399E+00, 0.5000E-02, 0.5806E+00, 0.5200E+00, 0.1000E-01
    250000, 0.5883E-02, 0.4987E-02, 0.5000E-02, 0.1493E+00, 0.3023E-01, 0.1000E-01, 0.5105E+00, 0.9355E-01, 0.5000E-02, 0.1401E+00, 0.1937E+00, 0.5000E-02, 0.2202E+00, 0.2737E+00, 0.1000E-01, 0.3604E+00, 0.3538E+00, 0.1000E-01, 0.5205E+00, 0.4339E+00, 0.5000E-02, 0.5806E+00, 0.5140E+00, 0.1000E-01
    260000, 0.4925E-02, 0.4804E-02, 0.5000E-02, 0.1496E+00, 0.3020E-01, 0.1000E-01, 0.5105E+00, 0.8730E-01, 0.5000E-02, 0.1401E+00, 0.1874E+00, 0.5000E-02, 0.2202E+00, 0.2675E+00, 0.1000E-01, 0.3604E+00, 0.3476E+00, 0.1000E-01, 0.5205E+00, 0.4276E+00, 0.5000E-02, 0.5806E+00, 0.5077E+00, 0.1000E-01
    270000, 0.4872E-02, 0.4866E-02, 0.5000E-02, 0.1493E+00, 0.2961E-01, 0.1000E-01, 0.5098E+00, 0.8570E-01, 0.5000E-02, 0.1401E+00, 0.1809E+00, 0.5000E-02, 0.2202E+00, 0.2610E+00, 0.1000E-01, 0.3604E+00, 0.3411E+00, 0.1000E-01, 0.5205E+00, 0.4211E+00, 0.5000E-02, 0.5806E+00, 0.5012E+00, 0.1000E-01
    280000, 0.4888E-02, 0.4868E-02, 0.5000E-02, 0.1494E+00, 0.2958E-01, 0.1000E-01, 0.5086E+00, 0.8609E-01, 0.5000E-02, 0.1401E+00, 0.1742E+00, 0.5000E-02, 0.2202E+00, 0.2542E+00, 0.1000E-01, 0.3604E+00, 0.3343E+00, 0.1000E-01, 0.5205E+00, 0.4144E+00, 0.5000E-02, 0.5806E+00, 0.4945E+00, 0.1000E-01
    290000, 0.4918E-02, 0.4896E-02, 0.5000E-02, 0.1498E+00, 0.3015E-01, 0.1000E-01, 0.5083E+00, 0.8625E-01, 0.5000E-02, 0.1401E+00, 0.1672E+00, 0.5000E-02, 0.2202E+00, 0.2473E+00, 0.1000E-01, 0.3604E+00, 0.3273E+00, 0.1000E-01, 0.5205E+00, 0.4074E+00, 0.5000E-02, 0.5806E+00, 0.4875E+00, 0.1000E-01
    300000, 0.4788E-02, 0.4651E-02, 0.5000E-02, 0.1497E+00, 0.3046E-01, 0.1000E-01, 0.5098E+00, 0.8668E-01, 0.5000E-02, 0.1401E+00, 0.1599E+00, 0.5000E-02, 0.2202E+00, 0.2400E+00, 0.1000E-01, 0.3604E+00, 0.3201E+00, 0.1000E-01, 0.5205E+00, 0.4002E+00, 0.5000E-02, 0.5806E+00, 0.4803E+00, 0.1000E-01
    310000, 0.4886E-02, 0.4893E-02, 0.5000E-02, 0.1490E+00, 0.3036E-01, 0.1000E-01, 0.5095E+00, 0.8606E-01, 0.5000E-02, 0.1401E+00, 0.1525E+00, 0.5000E-02, 0.2202E+00, 0.2325E+00, 0.1000E-01, 0.3604E+00, 0.3126E+00, 0.1000E-01, 0.5205E+00, 0.3927E+00, 0.5000E-02, 0.5806E+00, 0.4728E+00, 0.1000E-01
    320000, 0.4904E-02, 0.4858E-02, 0.5000E-02, 0.1484E+00, 0.2943E-01, 0.1000E-01, 0.5096E+00, 0.8548E-01, 0.5000E-02, 0.1401E+00, 0.1447E+00, 0.5000E-02, 0.2202E+00, 0.2248E+00, 0.1000E-01, 0.3604E+00, 0.3049E+00, 0.1000E-01, 0.5205E+00, 0.3850E+00, 0.5000E-02, 0.5806E+00, 0.4651E+00, 0.1000E-01
