 N,T,W,RMAX
       691, 0.5000E-06, 0.6006E+00, 0.1000E-01,
 it,x0( 1),z0(  1),rr(  1),x0(100),z0(100),rr(100)     ,x0(200),z0(200),rr(200),x0(300),z0(300),rr(300)                  ,x0(400),z0(400),rr(400),x0(500),z0(500),rr(500)                  ,x0(600),z0(600),rr(600),x0(  n),z0(  n),rr(  n)
    620000, 0.4881E-02, 0.4810E-02, 0.5000E-02, 0.1485E+00, 0.2944E-01, 0.1000E-01, 0.5092E+00, 0.8418E-01, 0.5000E-02, 0.1280E+00, 0.1229E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3627E+00, 0.1929E+00, 0.1000E-01, 0.5234E+00, 0.2238E+00, 0.5000E-02, 0.5757E+00, 0.2593E+00, 0.1000E-01
    630000, 0.4881E-02, 0.4810E-02, 0.5000E-02, 0.1485E+00, 0.2944E-01, 0.1000E-01, 0.5092E+00, 0.8415E-01, 0.5000E-02, 0.1280E+00, 0.1229E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3627E+00, 0.1928E+00, 0.1000E-01, 0.5234E+00, 0.2237E+00, 0.5000E-02, 0.5754E+00, 0.2590E+00, 0.1000E-01
    640000, 0.4881E-02, 0.4810E-02, 0.5000E-02, 0.1485E+00, 0.2945E-01, 0.1000E-01, 0.5092E+00, 0.8415E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3627E+00, 0.1928E+00, 0.1000E-01, 0.5235E+00, 0.2237E+00, 0.5000E-02, 0.5752E+00, 0.2587E+00, 0.1000E-01
    650000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2945E-01, 0.1000E-01, 0.5092E+00, 0.8415E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3628E+00, 0.1928E+00, 0.1000E-01, 0.5235E+00, 0.2237E+00, 0.5000E-02, 0.5749E+00, 0.2584E+00, 0.1000E-01
    660000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8416E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3628E+00, 0.1928E+00, 0.1000E-01, 0.5236E+00, 0.2237E+00, 0.5000E-02, 0.5747E+00, 0.2580E+00, 0.1000E-01
    670000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8416E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3628E+00, 0.1928E+00, 0.1000E-01, 0.5236E+00, 0.2237E+00, 0.5000E-02, 0.5747E+00, 0.2580E+00, 0.1000E-01
    680000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8416E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1928E+00, 0.1000E-01, 0.5236E+00, 0.2237E+00, 0.5000E-02, 0.5748E+00, 0.2580E+00, 0.1000E-01
    690000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1928E+00, 0.1000E-01, 0.5236E+00, 0.2237E+00, 0.5000E-02, 0.5749E+00, 0.2579E+00, 0.1000E-01
    700000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8418E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3629E+00, 0.1928E+00, 0.1000E-01, 0.5236E+00, 0.2238E+00, 0.5000E-02, 0.5751E+00, 0.2578E+00, 0.1000E-01
    710000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8418E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5236E+00, 0.2238E+00, 0.5000E-02, 0.5753E+00, 0.2576E+00, 0.1000E-01
    720000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5236E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    730000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8416E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    740000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8416E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3630E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    750000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8416E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3630E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    760000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    770000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    780000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    790000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    800000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    810000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5755E+00, 0.2574E+00, 0.1000E-01
    820000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    830000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2574E+00, 0.1000E-01
    840000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    850000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    860000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    870000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    880000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    890000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    900000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    910000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    920000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    930000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    940000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    950000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    960000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    970000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    980000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
    990000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1000000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1010000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1020000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1030000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1040000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1050000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1060000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1070000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1080000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1090000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1100000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1110000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1120000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1130000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1140000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1150000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1160000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1170000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1180000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
   1190000, 0.4881E-02, 0.4809E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8417E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1643E+00, 0.1000E-01, 0.3629E+00, 0.1927E+00, 0.1000E-01, 0.5235E+00, 0.2238E+00, 0.5000E-02, 0.5754E+00, 0.2575E+00, 0.1000E-01
