 No,X0(ini),Z0(ini),rr(ini),,x0(ini),z0(R=r_0),z0(R=r_1)
110,4.71E-01,9.01E-02,1.00E-02,,4.71E-01,0,0.09009
111,4.91E-01,9.01E-02,1.00E-02,,4.91E-01,0,0.09009
112,5.11E-01,9.01E-02,5.00E-03,,5.11E-01,0.09009,0
113,5.31E-01,9.01E-02,1.00E-02,,5.31E-01,0,0.09009
114,5.51E-01,9.01E-02,1.00E-02,,5.51E-01,0,0.09009
115,5.91E-01,9.01E-02,1.00E-02,,5.91E-01,0,0.09009
116,2.00E-02,1.10E-01,5.00E-03,,2.00E-02,0.1101,0
117,6.01E-02,1.10E-01,1.00E-02,,6.01E-02,0,0.1101
118,8.01E-02,1.10E-01,5.00E-03,,8.01E-02,0.1101,0
119,1.40E-01,1.10E-01,1.00E-02,,1.40E-01,0,0.1101
120,1.80E-01,1.10E-01,5.00E-03,,1.80E-01,0.1101,0
121,2.00E-01,1.10E-01,5.00E-03,,2.00E-01,0.1101,0
122,2.40E-01,1.10E-01,5.00E-03,,2.40E-01,0.1101,0
123,2.60E-01,1.10E-01,5.00E-03,,2.60E-01,0.1101,0
124,2.80E-01,1.10E-01,5.00E-03,,2.80E-01,0.1101,0
125,3.20E-01,1.10E-01,5.00E-03,,3.20E-01,0.1101,0
126,3.40E-01,1.10E-01,5.00E-03,,3.40E-01,0.1101,0
127,3.60E-01,1.10E-01,1.00E-02,,3.60E-01,0,0.1101
128,4.00E-01,1.10E-01,1.00E-02,,4.00E-01,0,0.1101
129,4.20E-01,1.10E-01,5.00E-03,,4.20E-01,0.1101,0
130,4.61E-01,1.10E-01,1.00E-02,,4.61E-01,0,0.1101
131,4.81E-01,1.10E-01,1.00E-02,,4.81E-01,0,0.1101
132,5.01E-01,1.10E-01,5.00E-03,,5.01E-01,0.1101,0
133,5.21E-01,1.10E-01,5.00E-03,,5.21E-01,0.1101,0
134,5.41E-01,1.10E-01,5.00E-03,,5.41E-01,0.1101,0
135,1.00E-02,1.30E-01,1.00E-02,,1.00E-02,0,0.1301
136,7.01E-02,1.30E-01,1.00E-02,,7.01E-02,0,0.1301
137,9.01E-02,1.30E-01,1.00E-02,,9.01E-02,0,0.1301
138,1.10E-01,1.30E-01,1.00E-02,,1.10E-01,0,0.1301
139,1.30E-01,1.30E-01,5.00E-03,,1.30E-01,0.1301,0
140,1.50E-01,1.30E-01,1.00E-02,,1.50E-01,0,0.1301
141,2.10E-01,1.30E-01,1.00E-02,,2.10E-01,0,0.1301
142,2.30E-01,1.30E-01,1.00E-02,,2.30E-01,0,0.1301
143,2.50E-01,1.30E-01,5.00E-03,,2.50E-01,0.1301,0
144,2.70E-01,1.30E-01,1.00E-02,,2.70E-01,0,0.1301
145,2.90E-01,1.30E-01,1.00E-02,,2.90E-01,0,0.1301
146,3.10E-01,1.30E-01,1.00E-02,,3.10E-01,0,0.1301
147,3.30E-01,1.30E-01,1.00E-02,,3.30E-01,0,0.1301
148,3.70E-01,1.30E-01,5.00E-03,,3.70E-01,0.1301,0
149,3.90E-01,1.30E-01,1.00E-02,,3.90E-01,0,0.1301
150,4.10E-01,1.30E-01,1.00E-02,,4.10E-01,0,0.1301
151,4.30E-01,1.30E-01,1.00E-02,,4.30E-01,0,0.1301
152,4.51E-01,1.30E-01,1.00E-02,,4.51E-01,0,0.1301
153,5.11E-01,1.30E-01,1.00E-02,,5.11E-01,0,0.1301
154,5.31E-01,1.30E-01,1.00E-02,,5.31E-01,0,0.1301
155,5.51E-01,1.30E-01,5.00E-03,,5.51E-01,0.1301,0
156,5.71E-01,1.30E-01,5.00E-03,,5.71E-01,0.1301,0
157,5.91E-01,1.30E-01,5.00E-03,,5.91E-01,0.1301,0
158,2.00E-02,1.50E-01,5.00E-03,,2.00E-02,0.1501,0
159,4.00E-02,1.50E-01,1.00E-02,,4.00E-02,0,0.1501
160,8.01E-02,1.50E-01,5.00E-03,,8.01E-02,0.1501,0
161,1.00E-01,1.50E-01,5.00E-03,,1.00E-01,0.1501,0
162,1.20E-01,1.50E-01,5.00E-03,,1.20E-01,0.1501,0
163,1.40E-01,1.50E-01,5.00E-03,,1.40E-01,0.1501,0
164,1.60E-01,1.50E-01,5.00E-03,,1.60E-01,0.1501,0
165,1.80E-01,1.50E-01,1.00E-02,,1.80E-01,0,0.1501
166,2.00E-01,1.50E-01,5.00E-03,,2.00E-01,0.1501,0
167,2.20E-01,1.50E-01,5.00E-03,,2.20E-01,0.1501,0
168,2.60E-01,1.50E-01,5.00E-03,,2.60E-01,0.1501,0
169,2.80E-01,1.50E-01,5.00E-03,,2.80E-01,0.1501,0
170,3.00E-01,1.50E-01,5.00E-03,,3.00E-01,0.1501,0
171,3.20E-01,1.50E-01,5.00E-03,,3.20E-01,0.1501,0
172,3.40E-01,1.50E-01,1.00E-02,,3.40E-01,0,0.1501
173,3.60E-01,1.50E-01,5.00E-03,,3.60E-01,0.1501,0
174,3.80E-01,1.50E-01,1.00E-02,,3.80E-01,0,0.1501
175,4.00E-01,1.50E-01,5.00E-03,,4.00E-01,0.1501,0
176,4.40E-01,1.50E-01,1.00E-02,,4.40E-01,0,0.1501
177,5.21E-01,1.50E-01,5.00E-03,,5.21E-01,0.1501,0
178,5.41E-01,1.50E-01,1.00E-02,,5.41E-01,0,0.1501
179,5.61E-01,1.50E-01,5.00E-03,,5.61E-01,0.1501,0
180,5.81E-01,1.50E-01,5.00E-03,,5.81E-01,0.1501,0
181,1.00E-02,1.70E-01,5.00E-03,,1.00E-02,0.1702,0
182,3.00E-02,1.70E-01,1.00E-02,,3.00E-02,0,0.1702
183,7.01E-02,1.70E-01,1.00E-02,,7.01E-02,0,0.1702
184,9.01E-02,1.70E-01,1.00E-02,,9.01E-02,0,0.1702
185,1.10E-01,1.70E-01,1.00E-02,,1.10E-01,0,0.1702
186,1.70E-01,1.70E-01,1.00E-02,,1.70E-01,0,0.1702
187,1.90E-01,1.70E-01,5.00E-03,,1.90E-01,0.1702,0
188,2.30E-01,1.70E-01,1.00E-02,,2.30E-01,0,0.1702
189,2.50E-01,1.70E-01,5.00E-03,,2.50E-01,0.1702,0
190,2.70E-01,1.70E-01,1.00E-02,,2.70E-01,0,0.1702
191,2.90E-01,1.70E-01,5.00E-03,,2.90E-01,0.1702,0
192,3.10E-01,1.70E-01,5.00E-03,,3.10E-01,0.1702,0
193,3.50E-01,1.70E-01,1.00E-02,,3.50E-01,0,0.1702
194,3.70E-01,1.70E-01,1.00E-02,,3.70E-01,0,0.1702
195,3.90E-01,1.70E-01,1.00E-02,,3.90E-01,0,0.1702
196,4.10E-01,1.70E-01,1.00E-02,,4.10E-01,0,0.1702
197,4.30E-01,1.70E-01,1.00E-02,,4.30E-01,0,0.1702
198,4.51E-01,1.70E-01,1.00E-02,,4.51E-01,0,0.1702
199,4.91E-01,1.70E-01,1.00E-02,,4.91E-01,0,0.1702
200,5.11E-01,1.70E-01,5.00E-03,,5.11E-01,0.1702,0
201,5.51E-01,1.70E-01,5.00E-03,,5.51E-01,0.1702,0
202,5.71E-01,1.70E-01,1.00E-02,,5.71E-01,0,0.1702
203,2.00E-02,1.90E-01,1.00E-02,,2.00E-02,0,0.1902
204,4.00E-02,1.90E-01,1.00E-02,,4.00E-02,0,0.1902
205,6.01E-02,1.90E-01,1.00E-02,,6.01E-02,0,0.1902
206,1.20E-01,1.90E-01,1.00E-02,,1.20E-01,0,0.1902
207,1.40E-01,1.90E-01,1.00E-02,,1.40E-01,0,0.1902
208,1.60E-01,1.90E-01,5.00E-03,,1.60E-01,0.1902,0
209,1.80E-01,1.90E-01,5.00E-03,,1.80E-01,0.1902,0
210,2.00E-01,1.90E-01,5.00E-03,,2.00E-01,0.1902,0
211,2.20E-01,1.90E-01,5.00E-03,,2.20E-01,0.1902,0
212,2.40E-01,1.90E-01,1.00E-02,,2.40E-01,0,0.1902
213,2.60E-01,1.90E-01,1.00E-02,,2.60E-01,0,0.1902
214,2.80E-01,1.90E-01,5.00E-03,,2.80E-01,0.1902,0
215,3.40E-01,1.90E-01,5.00E-03,,3.40E-01,0.1902,0
216,4.00E-01,1.90E-01,1.00E-02,,4.00E-01,0,0.1902
217,4.20E-01,1.90E-01,1.00E-02,,4.20E-01,0,0.1902
218,4.61E-01,1.90E-01,5.00E-03,,4.61E-01,0.1902,0
219,4.81E-01,1.90E-01,5.00E-03,,4.81E-01,0.1902,0
220,5.01E-01,1.90E-01,5.00E-03,,5.01E-01,0.1902,0
221,5.21E-01,1.90E-01,5.00E-03,,5.21E-01,0.1902,0
222,5.41E-01,1.90E-01,1.00E-02,,5.41E-01,0,0.1902
223,5.61E-01,1.90E-01,1.00E-02,,5.61E-01,0,0.1902
224,5.81E-01,1.90E-01,5.00E-03,,5.81E-01,0.1902,0
225,3.00E-02,2.10E-01,1.00E-02,,3.00E-02,0,0.2102
226,9.01E-02,2.10E-01,5.00E-03,,9.01E-02,0.2102,0
227,1.10E-01,2.10E-01,1.00E-02,,1.10E-01,0,0.2102
228,1.30E-01,2.10E-01,1.00E-02,,1.30E-01,0,0.2102
229,1.50E-01,2.10E-01,5.00E-03,,1.50E-01,0.2102,0
230,1.70E-01,2.10E-01,1.00E-02,,1.70E-01,0,0.2102
231,1.90E-01,2.10E-01,1.00E-02,,1.90E-01,0,0.2102
232,2.30E-01,2.10E-01,1.00E-02,,2.30E-01,0,0.2102
233,2.50E-01,2.10E-01,5.00E-03,,2.50E-01,0.2102,0
234,2.70E-01,2.10E-01,5.00E-03,,2.70E-01,0.2102,0
235,2.90E-01,2.10E-01,5.00E-03,,2.90E-01,0.2102,0
236,3.50E-01,2.10E-01,5.00E-03,,3.50E-01,0.2102,0
237,3.70E-01,2.10E-01,1.00E-02,,3.70E-01,0,0.2102
238,3.90E-01,2.10E-01,1.00E-02,,3.90E-01,0,0.2102
239,4.10E-01,2.10E-01,5.00E-03,,4.10E-01,0.2102,0
240,4.30E-01,2.10E-01,1.00E-02,,4.30E-01,0,0.2102
241,4.51E-01,2.10E-01,1.00E-02,,4.51E-01,0,0.2102
242,4.91E-01,2.10E-01,1.00E-02,,4.91E-01,0,0.2102
243,5.11E-01,2.10E-01,5.00E-03,,5.11E-01,0.2102,0
244,5.31E-01,2.10E-01,5.00E-03,,5.31E-01,0.2102,0
245,5.51E-01,2.10E-01,1.00E-02,,5.51E-01,0,0.2102
246,5.91E-01,2.10E-01,5.00E-03,,5.91E-01,0.2102,0
247,2.00E-02,2.30E-01,5.00E-03,,2.00E-02,0.2302,0
248,4.00E-02,2.30E-01,5.00E-03,,4.00E-02,0.2302,0
249,8.01E-02,2.30E-01,5.00E-03,,8.01E-02,0.2302,0
250,1.00E-01,2.30E-01,1.00E-02,,1.00E-01,0,0.2302
251,1.20E-01,2.30E-01,5.00E-03,,1.20E-01,0.2302,0
252,1.40E-01,2.30E-01,5.00E-03,,1.40E-01,0.2302,0
253,1.60E-01,2.30E-01,1.00E-02,,1.60E-01,0,0.2302
254,2.00E-01,2.30E-01,1.00E-02,,2.00E-01,0,0.2302
255,2.20E-01,2.30E-01,5.00E-03,,2.20E-01,0.2302,0
256,2.40E-01,2.30E-01,5.00E-03,,2.40E-01,0.2302,0
257,2.60E-01,2.30E-01,5.00E-03,,2.60E-01,0.2302,0
258,3.00E-01,2.30E-01,1.00E-02,,3.00E-01,0,0.2302
259,3.20E-01,2.30E-01,1.00E-02,,3.20E-01,0,0.2302
260,3.40E-01,2.30E-01,5.00E-03,,3.40E-01,0.2302,0
261,3.60E-01,2.30E-01,5.00E-03,,3.60E-01,0.2302,0
262,3.80E-01,2.30E-01,1.00E-02,,3.80E-01,0,0.2302
263,4.00E-01,2.30E-01,5.00E-03,,4.00E-01,0.2302,0
264,4.20E-01,2.30E-01,5.00E-03,,4.20E-01,0.2302,0
265,4.40E-01,2.30E-01,1.00E-02,,4.40E-01,0,0.2302
266,4.61E-01,2.30E-01,5.00E-03,,4.61E-01,0.2302,0
267,4.81E-01,2.30E-01,1.00E-02,,4.81E-01,0,0.2302
268,5.01E-01,2.30E-01,1.00E-02,,5.01E-01,0,0.2302
269,5.21E-01,2.30E-01,5.00E-03,,5.21E-01,0.2302,0
270,5.41E-01,2.30E-01,5.00E-03,,5.41E-01,0.2302,0
271,5.81E-01,2.30E-01,5.00E-03,,5.81E-01,0.2302,0
272,3.00E-02,2.50E-01,1.00E-02,,3.00E-02,0,0.2503
273,7.01E-02,2.50E-01,1.00E-02,,7.01E-02,0,0.2503
274,9.01E-02,2.50E-01,1.00E-02,,9.01E-02,0,0.2503
275,1.10E-01,2.50E-01,1.00E-02,,1.10E-01,0,0.2503
276,1.30E-01,2.50E-01,5.00E-03,,1.30E-01,0.2503,0
277,1.50E-01,2.50E-01,5.00E-03,,1.50E-01,0.2503,0
278,1.70E-01,2.50E-01,5.00E-03,,1.70E-01,0.2503,0
279,1.90E-01,2.50E-01,1.00E-02,,1.90E-01,0,0.2503
280,2.10E-01,2.50E-01,5.00E-03,,2.10E-01,0.2503,0
281,2.30E-01,2.50E-01,5.00E-03,,2.30E-01,0.2503,0
282,2.50E-01,2.50E-01,1.00E-02,,2.50E-01,0,0.2503
283,2.70E-01,2.50E-01,1.00E-02,,2.70E-01,0,0.2503
284,3.10E-01,2.50E-01,1.00E-02,,3.10E-01,0,0.2503
285,3.30E-01,2.50E-01,1.00E-02,,3.30E-01,0,0.2503
286,3.90E-01,2.50E-01,5.00E-03,,3.90E-01,0.2503,0
287,4.51E-01,2.50E-01,5.00E-03,,4.51E-01,0.2503,0
288,4.71E-01,2.50E-01,1.00E-02,,4.71E-01,0,0.2503
289,4.91E-01,2.50E-01,5.00E-03,,4.91E-01,0.2503,0
290,5.11E-01,2.50E-01,1.00E-02,,5.11E-01,0,0.2503
291,5.31E-01,2.50E-01,5.00E-03,,5.31E-01,0.2503,0
292,5.51E-01,2.50E-01,1.00E-02,,5.51E-01,0,0.2503
293,5.71E-01,2.50E-01,5.00E-03,,5.71E-01,0.2503,0
294,5.91E-01,2.50E-01,5.00E-03,,5.91E-01,0.2503,0
295,2.00E-02,2.70E-01,5.00E-03,,2.00E-02,0.2703,0
296,4.00E-02,2.70E-01,1.00E-02,,4.00E-02,0,0.2703
297,6.01E-02,2.70E-01,5.00E-03,,6.01E-02,0.2703,0
298,8.01E-02,2.70E-01,1.00E-02,,8.01E-02,0,0.2703
299,1.00E-01,2.70E-01,5.00E-03,,1.00E-01,0.2703,0
300,1.40E-01,2.70E-01,5.00E-03,,1.40E-01,0.2703,0
301,1.60E-01,2.70E-01,1.00E-02,,1.60E-01,0,0.2703
302,1.80E-01,2.70E-01,5.00E-03,,1.80E-01,0.2703,0
303,2.00E-01,2.70E-01,1.00E-02,,2.00E-01,0,0.2703
304,2.20E-01,2.70E-01,1.00E-02,,2.20E-01,0,0.2703
305,2.60E-01,2.70E-01,1.00E-02,,2.60E-01,0,0.2703
306,2.80E-01,2.70E-01,5.00E-03,,2.80E-01,0.2703,0
307,3.00E-01,2.70E-01,5.00E-03,,3.00E-01,0.2703,0
308,3.20E-01,2.70E-01,1.00E-02,,3.20E-01,0,0.2703
309,3.40E-01,2.70E-01,1.00E-02,,3.40E-01,0,0.2703
310,3.80E-01,2.70E-01,1.00E-02,,3.80E-01,0,0.2703
311,4.00E-01,2.70E-01,5.00E-03,,4.00E-01,0.2703,0
312,4.20E-01,2.70E-01,1.00E-02,,4.20E-01,0,0.2703
313,4.40E-01,2.70E-01,5.00E-03,,4.40E-01,0.2703,0
314,4.61E-01,2.70E-01,1.00E-02,,4.61E-01,0,0.2703
315,4.81E-01,2.70E-01,5.00E-03,,4.81E-01,0.2703,0
316,5.01E-01,2.70E-01,1.00E-02,,5.01E-01,0,0.2703
317,5.21E-01,2.70E-01,5.00E-03,,5.21E-01,0.2703,0
318,5.41E-01,2.70E-01,1.00E-02,,5.41E-01,0,0.2703
319,5.61E-01,2.70E-01,5.00E-03,,5.61E-01,0.2703,0
320,5.81E-01,2.70E-01,5.00E-03,,5.81E-01,0.2703,0
321,1.00E-02,2.90E-01,5.00E-03,,1.00E-02,0.2903,0
322,5.01E-02,2.90E-01,5.00E-03,,5.01E-02,0.2903,0
323,7.01E-02,2.90E-01,1.00E-02,,7.01E-02,0,0.2903
324,9.01E-02,2.90E-01,5.00E-03,,9.01E-02,0.2903,0
325,1.10E-01,2.90E-01,5.00E-03,,1.10E-01,0.2903,0
326,1.30E-01,2.90E-01,5.00E-03,,1.30E-01,0.2903,0
327,1.50E-01,2.90E-01,1.00E-02,,1.50E-01,0,0.2903
328,1.70E-01,2.90E-01,5.00E-03,,1.70E-01,0.2903,0
329,2.10E-01,2.90E-01,1.00E-02,,2.10E-01,0,0.2903
330,2.50E-01,2.90E-01,1.00E-02,,2.50E-01,0,0.2903
331,2.70E-01,2.90E-01,5.00E-03,,2.70E-01,0.2903,0
332,2.90E-01,2.90E-01,1.00E-02,,2.90E-01,0,0.2903
333,3.10E-01,2.90E-01,5.00E-03,,3.10E-01,0.2903,0
334,3.30E-01,2.90E-01,5.00E-03,,3.30E-01,0.2903,0
335,3.50E-01,2.90E-01,5.00E-03,,3.50E-01,0.2903,0
336,3.70E-01,2.90E-01,1.00E-02,,3.70E-01,0,0.2903
337,3.90E-01,2.90E-01,1.00E-02,,3.90E-01,0,0.2903
338,4.10E-01,2.90E-01,5.00E-03,,4.10E-01,0.2903,0
339,4.30E-01,2.90E-01,5.00E-03,,4.30E-01,0.2903,0
340,4.51E-01,2.90E-01,5.00E-03,,4.51E-01,0.2903,0
341,5.11E-01,2.90E-01,1.00E-02,,5.11E-01,0,0.2903
342,5.31E-01,2.90E-01,1.00E-02,,5.31E-01,0,0.2903
343,5.51E-01,2.90E-01,5.00E-03,,5.51E-01,0.2903,0
344,5.71E-01,2.90E-01,1.00E-02,,5.71E-01,0,0.2903
345,2.00E-02,3.10E-01,1.00E-02,,2.00E-02,0,0.3103
346,6.01E-02,3.10E-01,5.00E-03,,6.01E-02,0.3103,0
347,8.01E-02,3.10E-01,5.00E-03,,8.01E-02,0.3103,0
348,1.00E-01,3.10E-01,5.00E-03,,1.00E-01,0.3103,0
349,1.20E-01,3.10E-01,5.00E-03,,1.20E-01,0.3103,0
350,1.40E-01,3.10E-01,5.00E-03,,1.40E-01,0.3103,0
351,1.60E-01,3.10E-01,1.00E-02,,1.60E-01,0,0.3103
352,1.80E-01,3.10E-01,1.00E-02,,1.80E-01,0,0.3103
353,2.00E-01,3.10E-01,5.00E-03,,2.00E-01,0.3103,0
354,2.20E-01,3.10E-01,1.00E-02,,2.20E-01,0,0.3103
355,2.40E-01,3.10E-01,5.00E-03,,2.40E-01,0.3103,0
356,2.60E-01,3.10E-01,5.00E-03,,2.60E-01,0.3103,0
357,2.80E-01,3.10E-01,5.00E-03,,2.80E-01,0.3103,0
358,3.00E-01,3.10E-01,1.00E-02,,3.00E-01,0,0.3103
359,3.20E-01,3.10E-01,5.00E-03,,3.20E-01,0.3103,0
360,3.60E-01,3.10E-01,1.00E-02,,3.60E-01,0,0.3103
361,3.80E-01,3.10E-01,1.00E-02,,3.80E-01,0,0.3103
362,4.00E-01,3.10E-01,1.00E-02,,4.00E-01,0,0.3103
363,4.20E-01,3.10E-01,5.00E-03,,4.20E-01,0.3103,0
364,4.40E-01,3.10E-01,1.00E-02,,4.40E-01,0,0.3103
